pergunta,resposta
Qual das sete maravilhas do mundo foi criada para curar a saudade da Rainha da Babilônia?,Os Jardins Suspensos
Que ditado de 4 palavras era seguindo por Oda Nobunaga?,Governe com força absoluta
Mutações são uma mudança de quê?,DNA
O Império Mughal levou o islã para onde?,Maioria da Índia
Que tipo de desastre natural é medido usando a escala Richter?,Terremoto
O Papai Noel viaja num trenó puxado por que animais?,Renas
Qual dos seguintes comandantes foi parte da Guerra dos Cem Anos?,Joana D'Arc
Qual dos seguintes NÃO pode ser encontrado num baú prateado na taberna?,Tomo da Sabedoria Nv. 3 | Tomo do Conhecimento Nv. 3
Que parte do corpo humano contém mais água?,Globos oculares
De que país era o compositor Franz Schubert?,Áustria
Quem planejou o assassinato de Júlio César?,Marcus Junius Brutus
Quem é o Rei do Reino?,O Líder da Aliança que conquistar o Templo Perdido
Que comandante é conhecido como o Conquistador do Caos?,Cao Cao
O famoso arqueólogo dinamarquês Christian Jurgensen Thomsen propôs o sistema de Três idades para categorizar a história antiga. Qual é a primeira etapa?,Idade da Pedra
A França e a Alemanha eram ambas partes de que reino feudal?,Francia
Que Imperador Romano foi nomeado de Augusto depois de terminar uma guerra civil?,Gaius Octavius
Que Imperador Romano foi nomeado Augusto após terminar a guerra civil?,Gaius Octavius
Qual dos seguintes representa o Anel Olímpico verde?,Oceania
Quem é considerado o Pai dos Jogos Olímpicos Modernos?,Pierre de Coubertin
O que ofereceu maior suporte econômico para a Renascença?,Patronos ricos
Mutações são importantes pois trazem o quê?,Variação genética necessária para uma população evoluir
Os Três Reis da Coreia foram Baeke Silla e ... ?,Goguryeo
Qual desses foi o único comandante a derrotar Cyrus O Grande em batalha?,Tomyris
Sob circunstâncias normais que camada do sol podemos ver a olho nu?,Fotosfera
Quem pintou a Mona Lisa?,Leonardo da Vinci
Qual dessas é uma fase no evento O Governador Mais Poderoso?,Eliminação do Inimigo
Que comandante demonstrou sua genialidade militar na Batalha de Tours no século VIII?,Carlos Martel
Que comandante demonstrou sua genialidade militar na Batalha de Poitiers no século VIII?,Carlos Martel
Os egípcios fizeram papel a partir de que material?,Papiro
Qual é o nível mais alto da Prefeitura em RoK?,25
Quem foi o imperador do Primeiro Império Francês?,Napoleão Bonaparte
Que grupo artístico é conhecido como um tesouro nacional do Canadá?,Cirque du Soleil
Que europeu escreveu o primeiro diário de viagem detalhando a história cultura e arte da China?,Marco Polo
Qual é o apelido do campeão Keira?,O Camaleão Vermelho
Onde a Renascença começou,Itália
Do século XIII ao XI da Era Comum como os europeus chamavam frequentemente os invasores escandinavos que frequentemente atacavam suas terras?,Vikings
Qual do seguinte é um combustível fóssil líquido formado de organismos marinhos que é queimado para se obter energia e usado para fabricar plásticos?,Óleo
Primeiramente criada na Grécia Antiga a que profissão se aplica o Juramento de Hipócrates?,Médicos
Qual dos seguintes é um recursos energéticos inexaurível que baseia-se no magma quente ou em rochas quentes e secas abaixo da superfície?,Energia geotérmica
Que explorador português navegou do Cabo da Boa Esperança às Índias?,Vasco da Gama
Como é chamado o centro de um furacão?,Olho
Que comandante foi considerado de um inimigo de Roma desde pequeno (primeiro)?,Hannibal Barca
Na mitologia grega qual era o nome do cachorro de Hades com 3 cabeças que protegia os portões do Submundo?,Cérbero
Que imperador emitiu a Proclamação de Milão?,Constantino I
Que imperador emitiu o Decreto de Milão?,Constantino I
Em que continente geralmente se pensa que a raça humana se originou?,África
Qual dos Códigos de Lei da Babilônia foi o primeiro conjunto completo de leis escritas na história registrada?,O Código de Hammurabi
Na Arca de Osíris para onde você deve levar a Arca?,Uma construção NÃO inimiga
Quando a Declaração da Independência foi escrita?,1776
Qual dos seguintes não é um recurso renovável?,Água
Qual dos seguintes é considerado uma fonte de energia?,Petróleo
Que estadista proeminente serviu como o primeiro general do shogunato Edo no final do período dos Estados Beligerantes do Japão?,Tokugawa leyasu
Sem usar buffs quantos Pontos de Ação um Governador pode ter?,1000
O processo de dividir átomos é conhecido como o quê?,Fissão
(dividir)(cuidado a palavra dividir é fissão e combinar é fusão)
Que país não está na Europa?,Egito
De onde vêm as adaptações?,Tanto de mutações quanto de recombinação genética
As Guerras Púnicas foram lutadas pela Antiga Roma e que outro império antigo?,Cártago Antigo
Como Saladin mudou o Oriente Médio?,Ele conquistou maior parte da Palestina
Gales tornou-se oficialmente parte do Reino da Grã Bretanha durante o reinado de que rei?,Henrique VIII
Que tipo de unidade é mais forte contra a cavalaria?,Infantaria
Que ponto turístico em Sydney Austráulia tem a forma de velas?,Sydney Opera House
Depois da sua fundação no século VI a.C. que instituição da República Romana serviu como um parlamento consultivo?,O Senado
Onde foi o ponto de encontro da primeira Cruzada?,Constantinopla
Que artista projetou a Basílica de São Pedro no Vaticano?,Michelangelo
Onde os soldados da Roma Antiga pegaram suas armas e armaduras?,De si mesmos
Qual é o rio mais longo do mundo?,O Nilo
Qual dos seguintes comandantes é excelente em liderar a cavalaria?,Minamoto no Yoshitsune
Na mitologia grega para quem Paris o Príncipe de Troia deu uma maça dourada inscrita com Para a deusa mais linda?,Afrodite
A história do Egito Antigo abrange quantos reinos?,3
Que comandante tem o apelido de Guardião de Cártago?,Hannibal Barca
Quantos dedos o personagem de desenho animado Mickey Mouse tem em cada mão?,4
Por que sapos e outros oranismos produzem tantos ovos/descendentes?,Quanto mais descendentes produzidos mais provável que sobrevivam
Na mitologia grega que herói foi numa missão para o Velocino de Ouro?,Jason
Os Três Grandes Filósofos da Grécia Antiga foram Platão Aristóteles e quem?,Sócrates
Quem instituiu o Calendário Juliano?,Júlio César
Quem (primeiro) implementou o Calendário Juliano em Roma?,Júlio César
Que monarca francês foi conhecido como São Luis?,Luis IX
Que país na Ásia se sobrepõe com o antigo Império Parta?,Irã
Qual é o mineral mais mole atualmente conhecido pela humanidade?,Talco
Quem fundou a Dinastia de Joseon?,Yi Seong-Gye
Pintores de Renascença em Flanders assim como na Itália tendiam a produzir que tipo de trabalho artístico?,Realístico
Para onde o Rei Luís XIV da França moveu a corte real em 1682?,O Palácio de Versalhes
Quem possuía tudo nos reinos do Egito Antigo?,Os faraós
Que classificação honorária o fundador do Kentucky Fried Chicken (KFC) recebeu?,Coronel
Que comandante é conhecida como a Senhora dos Mercianos?,AEthelflaed
Que tipo de unidade é mais forte contra a arquearia?,Cavalaria
Que país começou a tradição do dia de trabalho de 8 horas?,Reino Unido
Qual dos seguintes é uma fonte de energia não renovável (como carvão óleo ou gás natural)?,Combustível fóssil
Na mitologia grega qual era o ponto fraco de Aquiles?,Seus calcanhares
Quem comandou o Novo Exército Modelo fundado pelo Parlamento durante a Guerra Civil Inglesa?,Cromwell
Para quem a Índia deu o título de Mahatma?,Mohandas Karamchand Gandhi
Onde Genghis Khan começou a construir o seu império mongol?,Ásia
Quem pintou A Última Ceia?,Leonardo da Vinci
Na mitologia grega qual é a relação entre Zeus e Hermes?,Pai e filho
Qual dos seguintes é considerado um recurso metálico?,Ferro
De que cor é a pele do urso polar?,Preta
Qual dos seguintes foi um Cavaleiro da Távola Redonda?,Lancelotee
O fim justifica os meios foi uma crença central do autor de O Príncipe. Qual era o seu nome?,Maquiavel
Os quatro maiores musicais do mundo são Cats Os Miseráveis Miss Saigon e ... ?,O Fantasma da Ópera
Quem foi o único Rei da Inglaterra a ser executado?,Carlos I
Qual dos seguintes comandantes é excelente em liderar a arquearia?,Yi Seong-Gye
Qual dos seguintes reis franceses era conhecido como Rei Sol?,Luís XIV
Qual é o nome da eletricidade produzida pela força da água usando grandes represas num rio?,Energia hidroelétrica
Qual das seguintes espécies marinhas existiu por mais tempo?,Nautilus
Qual dos seguintes foi construído sob ordem de Shah Jahan em memória da sua esposa Mumtaz Mahal?,O Taj Mahal
Quem foi a última faraó na Dinastia de Ptolomeu?,Cleópatra VII
Qual é o nome da revolução de 1688 que estabeleceu a monarquia constitucional britânica?,A Revolução Gloriosa
Onde a maioria dos furacões começa?,Em mar aberto
As quatro principais variedades de Guzheng na China Antiga foram Haozhong Luqi Jiaowei e ... ?,Raoliang
Quem foi chamado de Napoleão do crime em algumas das histórias de Sherlock Holmes?,Professor Moriarty
O formato da comédia chinesa crosstalk origina-se em três lugares: Tianqiao em Pequim o Quanye Bazaar em Tianjin e onde em Nanjing?,Fuzimiao
Qual dos seguintes instrumentos musicais tem seis cordas?,Violão
Como se faz para ganhar créditos de tecnologia da aliança?,Doando para a tecnologia da aliança de pesquisa
O processo de combinar átomos é conhecido como o quê?,Fusão
Vantagens da imprensa de Johannes Gutenberg incluem todos os seguintes exceto qual?,Aumento do poder da igreja
Em que país o ar-condicionado foi inventado?,EUA
Quantas vezes o caractere 1 é usado quando você escreve do número 1 ao 99?,20
Quem foi o líder do Exército Ocidental durante a Batalha de Sekigahara que ocorreu durante o período Sengoku do Japão?,Ishida Mitsunari
Que psicólogo alemão descobriu a curva de esquecimento do cérebro humano?,Hermann Ebbinghaus
Raphael é melhor conhecido pela sua criação de qual dos seguintes?,Escola de Atenas
Qual dos seguintes é a maior ilha do mundo?,Groenlândia
Qual dos seguintes foi um movimento intelectual da Renascença no qual os pensadores estudaram os textos clássicos e focaram-se no potencial e nas conquistas humanas?,Humanismo
Qual é a proporção de conversão de ampares (A) para miliamperes (mA)?,1:1000
Em que país aconteceram as Guerras Carlistas no século XIX?,Espanha
Qual dos seguintes foi inimigo de Ricardo Coração de Leão?,Saladin
Qual das seguintes NÃO é uma das habilidades de Júlio César?,Vida Militar
Qual dos seguintes NÃO é parte da bandeira do México?,Camelo
Em que ano Ricardo Coração de Leão e Saladino assinaram trégua?,1192
Que prédio foi originalmente construído em Londres na casa da Grande Exposição dos Trabalhos da Indústria de Todas as Nações que aconteceu em 1851?,O Palácio de Cristal
Que comandante tem o apelido de Rugido Bárbaro?,Lohar
Qual dos seguintes comandantes é excelente em reunir recursos?,Cleópatra VII
Que descoberta possibilitou decifrar os hieróglifos?,A Pedra Rosetta
A que ordem dos mamíferos Suidae pertence?,Artiodactyla
Humanistas do norte como Erasmus eram mais conhecidos pelo quê?,Interesse na religião e reforma social
Qual dos seguintes físicos nasceu no aniversário de morte de Galileu Galilei e morreu no aniversário de nascimento de Albert Einstein?,Stephen Hawking
Qual dos seguintes é um combustível fóssil formado de organismos marinhos que frequentemente são encontrados em camadas empilhadas ou inclinadas e usados para aquecimento e cozinhar?,Gás natural
Qual dos seguintes comandantes é excelente em liderar a infantaria?,Richard I
Na Grécia antiga que filósofo gostava de discutir ideias numa rua que depois foi apelidada de Escola Peripatética?,Aristóteles
Qual dos seguintes NÃO é um dos principais gases de efeito estufa na atmosfera terrestre?,Nitrogênio
Qual das seguintes civilizações oferece um bônus de 5% para unidades de cavalaria?,Alemanha
Que inventor construiu a primeira locomotiva elétrica do mundo em 1837?,Robert Davidson
Na Arca de Osíris que Aceleração você pode usar?,Aceleração de Cura
Quem foi o primeiro Imperador de Roma?,Gaius Octavius Augustus
Que tipo de lugar sagrado concede bônus de ataque de tropa?,Altar da Chama
Qual dos seguintes também era conhecido como o Império Romano Oriental?,O Império Bizantino
Que explorador português foi o primeiro europeu a navegar para aponta sul da África?,Bartolomeu Dias
Qual dos seguintes é o irmão mais velho de Zeus na mitologia grega?,Poseidon
Ingestão insuficiente de que elemento pode causar tiromegalia?,Iodo
O Taj Mahal foi construído durante que dinastia indiana?,A Dinastia Mughal
Que antigo acadêmico grego estabeleceu a base para futuros matemáticos europeus e foi autor de Elementos da geometria?,Euclides
Quantas fases existem no evento O Governo Mais Poderoso?,5
Quem escreveu A Arte da Guerra?,Sun Tzu
Que dois principais trabalhos são atribuídos a Homero?,A Odisseia e A Ilíada
Quem acreditava-se ser o protótipo do Rei de Copas no pôquer?,Carlos Magno
Quem propôs a ideia filosófica de Penso logo existo?,Descartes
Em que a Comandante Hermann é boa?,Liderar unidades de arquearia
Qual das seguintes conquistas deve ser concluída antes da conquista Floco de Neve Especial?,Golpe de longo alcance
Em que o Comandante Sun Tzu é bom?,Liderar guarnições de cidade
Qual dos seguintes NÃO pode ser encontrado nas Lojas da Aliança?,Chave de ouro
Em que o Comandante Baybars é bom?,Liderar unidades de cavalaria
Ao pescar e soltar peixes em mar aberto por que é importante perfurar as bexigas natatórias deles?,Para evitar que morram com distensão das bexigas natatórias
Qual era outro uso do gim além de ser uma bebida popular no século XVIII?,Remédio
Qual dos seguintes não foi um pilar da Renascença?,Maneirismo
Qual dos seguintes Desiderius Erasmus e Thomas More têm em comum?,Ambos era considerados humanistas
Durante a Segunda Guerra Púnica em que batalha Hannibal com um exército bem menor derrotou um exército romano?,A Batalha de Cannae
Qual das seguintes comandantes se juntou a uma rebelião contra seu próprio marido?,Constânça
Em que o Comandante Eulji Mundeok é bom?,Liderar unidades de infantaria
O épico de Homero A Ilíada foca nos eventos que acontecem durante que guerra ou batalha?,A Guerra de Troia
Qual destas é uma das habilidades ativas de Minamoto no Yoshitsune?,Kyohachiryu
Qual é a habilidade ativa de Minamoto no Yoshitsune?,Kyohachiryu
A Rainha Vitória da Inglaterra fez parte de que casa real?,A Casa dos Hanover
Qual foi um farol construído depois que a Macedônia conquistou o Egito e foi uma das sete maravilhas do mundo antigo?,O Farol de Alexandria
O que causa eclipses lunares?,A Terra se move diretamente entre o sol e a lua
Qual dos seguintes é outro nome para a Peste Negra que atingiu a Europa durante o final da Idade Média?,Yersinia pestis
O ar frequentemente se sente mais fresco depois da tempestade pois ele foi enriquecido com que gás?,Ozônio
Em que a Comandante Keira é boa?,Liderar unidades de arquearia
Que país nas Ásia se sobrepõe com o antigo Império Parta?,Irã
Que comandante foi encarregado de capturar Constantinopla aos 21 anos de idade?,Mehmed II
Qual dos seguintes é uma fonte de energia alternativa baseada em dividir átomos pesados em mais leves para liberar energia?,Energia nuclear
A autobiografia Viver para Contar de quem ganhou o Prêmio Nobel de Literatura?,Gabriel García Márquez
Que civilização antiga construiu a Cidade Perdida de Machu Picchu?,Os Incas
O que Espártaco fez como escravo antes de liderar a maior rebelião de escravos da Roma Antiga?,Um gladiador
Qual dos seguintes não é um recurso natural?,Roupas
O título Rainha do reino aumenta qual dos seguintes?,Velocidade de coleta
Keira uma vez desafiou as expectativas do mundo sobre ela numa gloriosa batalha. Onde aconteceu essa batalha?,Desfiladeiro do Pôr do Sol
Quem foi o primeiro filho de Henrique VIII a governar a Inglaterra?,Eduardo VI
Qual das seguintes civilizações aumenta o dano das habilidades de comandante ativas em 5%?,Otomanos
Quantos ossos um humano adulto normalmente tem?,206
Que comandante assinou um tratado de paz com Saladin em 1192?,Richard I
Quem foi o fundador do Império Mongol?,Genghis Khan
Que rei de país europeu fundou a famosa expediência de Cristovão Colombo?,Espanha
Qual das seguintes descrições de título de reino está incorreta?,As tropas dos duques aumentaram o ataque | As tropas dos primeiro ministros aumentaram o ataque
Qual das seguintes NÃO é uma das habilidades de Osman I?,Táticas oblíquas
Qual é o nome da energia renovável derivada de matéria orgânica queimando como madeira e álcool?,Biomassa
Quando a prefeitura de um governador alcançar o nível 25 quantas fazendas ele pode construir?,4
Qual dos seguintes frutas conhecida como pera do lobo imaginou-se erroneamente ser venenosa?,Tomate
Na página VISUALIZAÇÃO DO COMANDANTE que bônus os comandantes agindo como Mestre da perfuração ganham?,Ataque de Tropas +1%
Que buff pode ser adquirido ao ocupar um Santuário da Coragem?,EXP aumentado ganho pelos comandantes
Qual das seguintes NÃO é uma das habilidades de Lohar?,Aniquilação Total
Que país deu a Estátua da Liberdade ao povo americano como um presente?,França
Onde nasceu o Comandante Lohar?,Numa remota tribo bárbara
Qual das seguintes NÃO é uma das habilidades de Belisarius?,Força Estrondosa
Dos comandantes abaixo qual se adegua melhor a liderar tropas CONTRA inimigos de infantaria?,Hermann
Na página VISUALIZAÇÃO DO COMANDATE que bônus os comandantes agindo como Guarda ganham?,Nenhuma dessas respostas está correta
Qual dos seguintes NÃO é uma habilidade de rei?,Alívio
Dos comandantes abaixo qual se adequa melhor a liderar tropas CONTRA inimigos de arquearia?,Cao Cao
Qual das seguintes NÃO é uma das habilidades de Hermann?,Irrestível
Dos comandantes abaixo qual se adequa melhor a liderar tropas CONTRA inimigos de cavalaria?,Sun Tzu
Por que o escorbuto já foi um problema comum dos marinheiros?,Por falta de frutas e vegetais frescos em longas viagens
Em que o Comandante Hermann é bom?,Liderar unidades de arquearia
Qual dessas cidades no Brasil recebeu os Jogos Olímpicos?,Rio de Janeiro
Qual das seguintes vitaminas é mais útil para manter uma boa visão?,Vitamina A
Na página VISUALIZAÇÃO DO COMANDANTE que bônus os comandantes agindo como Fiscal ganham?,Velocidade de Coleta 5%
Em que o Comandante Hannibal Barca é bom?,Atacar cidades
Em qual desses países passa o primeiro meridiano?,Mali -> (Espanha França Reino Unido Gana Burkina Faso Mali Argélia)
Qual das seguintes doenças pode ser causada pela falta de Vitamina D?,Raquitismo
Qual das seguintes NÃO é uma das habilidades de Matilda de Flanders?,Sangue Celta
Qual das seguintes NÃO é uma das habilidades de Mulan?,Exército Indomável
Além de Número de Batedores e Poder qual que seguintes parâmetros do Acampamento de Batedores também pode ser atualizado?,Velocidade de Marcha do Batedor e Alcance de Exploração
Qual das seguintes construções não pode ser atualizada?,Correio
Qual é a relação entre os famosos generais Tolui e Gengis Khan?,Pai e filho
Qual unidade se beneficia da habilidade Mestre Estrategista de Sun Tzu?,Infantaria
Qual dos seguintes animais NÃO coloca ovos?,Morcego
Qual tecnologia vem logo antes do Pavise?,Flechas Bodkin
Qual é o propósito principal das células brancas do sangue no corpo humano?,Combate infecções e doenças
Qual tecnologia vem logo antes do Espadachim?,Trabalho de Ferro
Em que o Comandante Lancelote é bom?,Liderar unidades de cavalaria
Qual dos seguintes descreve precisamente o Círculo Ártico?,Dia Polar e Noite Polar são fenômenos que ocorrem lá
Qual dos seguintes países está localizado inteiramente no Hemisfério Norte?,Nenhuma dessas respostas está correta
Qual dos seguintes é uma construção econômica?,Centro de Alianças
Além de Vezes que você pode ser ajudado e Poder qual dos seguintes parâmetros do Centro de Alianças também pode ser atualizado?,Capacidade de reforços da cidade
Que astrônomo propôs a teoria heliocêntrica no século XVI?,Nicolau Copérnico
Qual dos seguintes é uma construção militar?,Acampamento de batedores
Qual é a principal causa da formação dos Himalaias?,Colisão entre placas
Em que a Comandante Baybars é boa?,Liderar unidades de cavalaria
No Antigo Egito qual dos seguintes NÃO era um privilégio de ser um 'Escriba'?,Isento de pagar despesas médicas se estivesse doente
Quantos pontos VIP você pode comprar com 200 gemas?,200
Qual dos seguintes descreve um peixe-palhaço?,Peixe marinho tropical
Que cientista holandês é conhecido como o pai da microbiologia?,Antonie Van Leeuwenhoek
O romance dos Três Reinos começa perto do fim de qual dinastia chinesa?,Han
Que deus é Taranis na mitologia celta?,Deus do Trovão
Onde o Exército Terracotta de Patrimônio Mundial foi encontrado?,Num mausoléu real
Qual é a principal causa de paisagens cársicas?,A dissolução de rochas solúveis
Qual dos seguintes NÂO ocorreu durante as Guerras Greco-Persas?,A Batalha de Azincourt
Qual tecnologia vem logo antes da Cavalaria Pesada?,Armadura de Escama
Qual dos seguintes países é mais próximo do Polo Norte?,Finlândia
Em que escrita o Código de Hammurabi foi entalhada em pedra?,Cuneiforme
Um item de Recolhimento Aprimorado pode aumentar em quanto a sua velocidade de coleta?,50%
Em qual nível VIP você desbloqueia permanentemente uma segunda fila de construção?,Nvl. 6
Um item de Ataque Aprimorado (Avançado) pode aumentar em quanto o seu ataque?,10%
Qual dos seguintes discursos foi feito pelo Primeiro Ministro prussiano Otto von Bismarck em Setembro de 1862?,Sangue e ferro
De que os homens e mulheres estavam se escondendo na periferia de Florença na coleção de romances O Decamerão?,A Peste Negra
Qual das seguintes opções concede pontos de atividade diários?,Derrotar tropas Bárbaras no mapa
,Marie Curie
Quais oceanos são conectados pelo Canal do Panamá?,Pacífico e Atlântico
De acordo com o conto da Loba da mitologia romana o que houve com os gêmeos que ela alimentou: Rômulo e Remo?,Rômulo se tornou o fundador e primeiro Rei de Roma
Qual dos buffs seguintes pode ter efeito durante as batalhas do Desfiladeiro do Pôr do Sol?,Buffs de equipamento
Quais cidades são conenctadas pela Ponte Dom Luís I?,Porto e Vila Nova de Gaia
Considerando sua fundação em 1863 quantas vezes o Comitê International da Cruz Vermelha venceu o Prêmio Nobel da Paz?,3
Em que cidade moderna foi construído o Globo de Shakespeare?,Londres
Qual foi o nome real usado pelo último imperador da Dinastia Qing chinesa?,Xuantong
Qual dinastia chinesa Jiang Ziya ajudou a fundar?,A Dinastia Zhou
Que país foi o primeiro a inventar o perfume?,Chipre
Em RoK o Lança Machado é a unidade especial de qual civilização?,França
Na Arca de Osíris quantos teletransportes a primeira aliança ganha para ocupar um obelisco?,8
Qual foi o propósito original da Grande Pirâmide de Gizé?,Tumba do faraó Quéops
De quem é a beleza que dizem ser a causa da Guerra de Troia?,Helena
Qual das seguintes serve como flor nacional das Filipinas?,Sampaguita
Que período da história europeia que durou de 1300 a 1600 viu renascer o interesse na cultura clássica e levou a amplas mudanças na arte aprendizado e visões de mundo?,A Renascença
Que guerra terminou a governo da Casa de Plantagenet e começou o governo dos Tudors na Inglaterra?,As Guerras das Rosas
Quem fez o famoso discurso Eu tenho um sonho?,Martin Luther King Jr.
Quem foi o último imperador do Sacro Império Romano?,Francis II
Dos século XVII ao XIX o Reino da Prússia foi na maior parte em que país moderno?,Alemanha
A Festa Nacional Francesa ocorre em 14 de julho para coincidir com qual evento histórico?,Tomada da Bastilha
Que faraó ordenou a construção dos templos de Abu Simbel?,Ramsés II
Em qual teatro a Sinfonia Nº 5 em Dó Menor de Beethoven estreou em 1808?,Theater an der Wien
QUal dos seguintes trabalhos é baseado na Batalha de Roncesvales lutada por Carlos Magno e seus cavaleiros?,A Canção de Rolando
Quem foi o fundador do Edo Bakufu do Japão?,Tokugawa leyasu
Para qual doença Edward Jenner conhecido como o pai da imunologia desenvolveu uma vacina?,Varíola
Em que ano Einstein publicou seus quatro Annus Mirabilis (Artigos Miraculosos)?,1905
Qual o benefício de pesquisar Matemática na Academia?,Velocidade de pesquisa aumentada
QUal dos seguintes foi escrito por Mary Shelley?,Frankenstein
Em que ano o Código Napoleônico foi estabelecido?,1804
O atleta afro-americano Jesse Owens ganhou quantas medalhas de ouro olímpicas em 1936?,4
Qual dos seguintes comandantes foi de fato governante do seu reino mas nunca foi oficialmente chefe de estado?,Carlos Martel
Quem foi a primeira mulher a ganhar o Prêmio Nobel?,Marie Curie
O Dia do Elba foi a reunião de quais exércitos durante a Segunda Guerra Mundial?,EUA e URSS
Por que a enfermeira britânica Florence Nightingale era conhecida como A Dama da Lâmpada?,Porque precisava examinar os pacientes à noite
Na mitologia nórdica qual era a Árvore do Mundo?,Freixo
O último livro de Darwin discutia primariamente a influência de qual espécie no solo?,Minhocas
Quantos baús de recompensa são concedidos ao atingir 60 pontos de atividades diária?,3
Qual era o título Pierre de Coubertin fundador do Comitê Olímpico International?,Barão
Em quantos canatos ou impérios foi dividido o império Mongol na época da morte de Kublai em 1294?,4
Na Dinastia Han da China quem abriu a Estrada da Seda sob ordens do Imperador Wu?,Zhang Qian
O que causou a morte do destacado estadista e estrategista militar Péricles?,Uma praga
Que instrumento musical é um emblema nacional da Irlanda?,Arpa
Qual das seguintes invenções NÃO surgiu durante a primeira Revolução Industrial?,Telefone
O etc nrt,Telefone
Na mitologia grega como a Deusa Eos é conhecida?,A deusa da aurora
Que escola de pensamento foi fundada pelo filósofo chinês Lao Tzu?,Taoismo
Em qual ano ocorreu o primeiro Campeonato de Tênis de Wimbledon?,1877
